country,year,ai_adoption_consumer,ai_adoption_enterprise,internet_penetration,gdp_per_capita,education_index,tech_workforce_pct,cloud_infrastructure,data_availability,ai_policy_score,ai_startups_count,ai_investment_billion_usd,rd_spending_gdp_pct,ai_research_papers,stem_graduates_pct,ai_talent_rank,5g_coverage_pct,data_center_count,gpu_availability_index,ai_regulation_score,government_ai_spending,adoption_gap,ai_readiness_score,ai_index_score,ai_growth_rate,ai_global_rank
China,2019,96.12,100.0,98.0,80000.0,0.95,3.27,98.19,100.0,98.04,8372,49.92,3.14,166836,30.14,47,100.0,499,101.34,98.04,168.58,3.88,87.5,97.81,0.01116509872841931,1.0
China,2020,94.81,100.0,98.0,80000.0,0.95,4.13,100.0,93.51,100.0,8707,182.7,4.45,134279,38.12,34,100.0,705,105.26,100.0,175.07,5.19,87.5,97.3,-0.005214190778039085,1.0
China,2021,96.69,100.0,98.0,80000.0,0.95,3.86,100.0,99.6,99.42,9977,155.44,4.22,68420,41.34,47,98.49,814,94.53,99.42,86.31,3.31,87.5,98.32,0.010483042137718446,1.0
China,2022,100.0,100.0,98.0,80000.0,0.95,16.25,96.09,98.09,98.25,9280,64.18,2.72,26766,29.23,53,100.0,423,94.92,98.25,62.99,0.0,87.5,98.3,-0.00020341741253049328,1.0
China,2023,100.0,100.0,98.0,80000.0,0.95,3.53,93.89,100.0,98.75,10496,126.57,2.17,146614,43.15,118,100.0,441,94.41,98.75,146.85,0.0,87.5,98.21,-0.0009155645981688831,1.0
China,2024,100.0,100.0,98.0,80000.0,0.95,4.12,93.27,100.0,89.01,8414,208.51,3.13,170318,23.12,34,100.0,334,107.61,89.01,45.69,0.0,87.5,97.14,-0.010895020873638028,1.0
China,2025,100.0,100.0,98.0,80000.0,0.95,10.18,100.0,100.0,97.6,8280,172.86,4.56,24843,19.83,114,100.0,497,102.46,97.6,80.76,0.0,87.5,99.01,0.019250566193123264,1.0
China,2026,100.0,100.0,98.0,77541.12,0.95,7.57,100.0,100.0,98.63,9430,195.0,1.23,162186,38.79,114,100.0,608,99.43,98.63,167.43,0.0,86.27,99.11,0.001009998990000982,1.0
Germany,2015,77.43,89.34,98.0,77622.9,0.95,17.16,84.5,91.9,83.7,8476,130.38,2.37,53980,11.97,103,100.0,779,97.94,83.7,103.97,11.91,86.31,86.18,0.0,3.0
Germany,2016,76.95,88.62,98.0,76425.84,0.95,8.45,89.05,86.42,88.07,4519,169.94,2.84,124019,28.21,102,100.0,505,96.14,88.07,86.2,11.68,85.71,86.45,0.0031329774889765627,3.0
Germany,2017,82.15,88.1,95.84,80000.0,0.95,9.87,83.14,88.25,86.84,8835,106.9,2.81,125610,23.88,75,100.0,748,85.2,86.84,147.39,5.95,87.5,86.79,0.003932909196067147,2.0
Germany,2018,79.88,88.32,89.51,76584.03,0.95,4.32,86.28,92.49,81.59,4598,68.61,1.12,105566,16.37,42,100.0,451,93.0,81.59,59.15,8.45,85.79,86.65,-0.001613089065560569,5.0
Germany,2019,82.03,87.87,98.0,73913.46,0.95,14.43,87.6,86.09,83.46,4114,194.86,3.33,27075,40.58,110,89.82,328,95.08,83.46,126.53,5.84,84.46,86.82,0.0019619157530292863,5.0
Germany,2020,81.92,91.25,88.72,75254.56,0.95,6.54,86.68,89.93,89.2,7793,213.54,2.8,90298,13.75,54,100.0,307,87.03,89.2,83.13,9.33,85.13,88.46,0.01888965676111498,5.0
Germany,2021,82.86,88.7,98.0,72684.65,0.95,10.97,91.9,91.89,88.18,4374,143.72,3.14,120245,25.11,16,96.5,382,92.68,88.18,105.77,5.84,83.84,88.93,0.005313135880624209,5.0
Germany,2022,88.98,94.7,91.72,78129.41,0.95,7.13,84.52,86.68,80.4,4846,213.84,0.86,89231,24.36,117,91.35,404,97.53,80.4,140.25,5.71,86.56,89.56,0.007084223546609536,5.0
Germany,2023,94.73,100.0,98.0,74370.95,0.95,5.37,88.56,91.57,82.19,5666,121.95,2.78,49628,14.02,73,96.65,518,85.31,82.19,95.28,5.27,84.69,93.59,0.04499776686020551,2.0
Germany,2024,93.37,98.81,93.08,77248.2,0.95,14.27,92.89,87.83,90.14,8049,155.13,2.62,73413,22.21,111,100.0,758,84.86,90.14,124.5,5.44,86.12,94.02,0.00459450796025207,3.0
Germany,2025,100.0,100.0,91.28,80000.0,0.95,16.66,90.94,86.02,80.45,7531,140.98,2.11,138742,23.74,98,100.0,391,89.93,80.45,74.25,0.0,87.5,94.54,0.0055307381408211675,2.0
Germany,2026,100.0,100.0,90.33,70089.7,0.95,18.92,88.43,96.59,87.35,7326,104.29,1.13,127066,31.7,64,100.0,648,85.27,87.35,75.46,0.0,82.54,95.91,0.014491220647344871,2.0
UK,2015,67.77,78.91,95.66,69085.17,0.95,4.29,77.15,86.05,70.39,5347,171.35,1.17,42105,35.28,86,97.96,519,81.87,70.39,60.32,11.14,82.04,78.14,0.0,9.0
UK,2016,73.24,84.87,90.96,59833.74,0.95,2.33,75.26,82.52,76.32,7632,194.52,3.04,99927,42.29,85,83.3,454,82.83,76.32,78.09,11.63,77.42,80.95,0.03596109546966986,8.0
UK,2017,72.69,83.56,89.1,63779.31,0.95,12.64,74.97,87.54,81.78,5355,43.77,2.01,113065,10.16,40,90.67,432,87.53,81.78,70.07,10.87,79.39,81.49,0.006670784434836152,9.0
UK,2018,76.63,84.79,87.11,67048.41,0.93,18.47,75.14,76.37,76.2,5179,134.12,3.35,15365,33.22,22,100.0,219,79.95,76.2,43.16,8.17,80.13,80.87,-0.007608295496379758,8.0
UK,2019,78.83,89.08,82.54,80000.0,0.9,2.66,75.83,87.2,71.8,5707,131.41,0.8,109685,25.87,63,91.95,357,82.12,71.8,50.37,10.25,85.03,82.76,0.023370842092246713,8.0
UK,2020,73.54,81.4,91.91,61689.78,0.95,2.49,73.98,76.07,79.47,4504,74.07,3.52,16183,13.64,96,84.08,496,77.3,79.47,44.62,7.86,78.34,79.63,-0.037820202996616814,13.0
UK,2021,77.8,85.58,96.65,72282.14,0.95,2.23,80.41,76.8,73.12,3847,70.08,0.62,36190,30.41,51,100.0,586,78.85,73.12,61.11,7.78,83.64,82.15,0.031646364435514274,12.0
UK,2022,80.93,88.79,97.7,60944.19,0.95,15.74,79.25,80.27,73.14,4110,183.58,2.69,124409,37.99,51,79.4,285,81.85,73.14,99.67,7.87,77.97,83.91,0.02142422398052335,9.0
UK,2023,79.45,88.13,97.01,69581.66,0.95,4.12,75.44,77.81,69.0,6209,81.45,2.99,94332,39.04,25,79.06,212,87.23,69.0,124.45,8.68,82.29,82.15,-0.02097485401024901,12.0
UK,2024,87.82,99.22,79.67,77054.71,0.92,4.99,77.92,79.47,76.51,6986,48.59,3.21,44097,23.63,35,89.4,532,78.18,76.51,92.75,11.4,84.64,87.88,0.06975045648204481,9.0
UK,2025,86.24,92.74,79.76,71193.93,0.95,10.93,74.04,77.66,77.65,6307,91.79,3.97,26932,12.63,87,93.59,515,80.25,77.65,59.77,6.5,83.1,85.63,-0.025603095129722364,13.0
UK,2026,95.19,100.0,81.46,71889.38,0.94,19.1,77.34,75.1,82.49,5582,66.17,2.94,121736,35.63,96,98.49,518,86.47,82.49,60.1,4.81,83.03,90.28,0.054303398341702724,7.0
Japan,2015,72.61,82.49,98.0,76433.8,0.93,10.54,80.31,91.21,86.91,7982,188.91,1.94,122405,11.3,71,89.24,214,78.5,86.91,111.73,9.88,84.73,82.59,0.0,6.0
Japan,2016,74.12,82.9,98.0,71036.24,0.95,13.09,85.25,82.12,81.73,4796,40.58,4.42,17237,40.61,63,100.0,606,92.31,81.73,74.23,8.78,83.02,82.68,0.0010897203051216664,7.0
Japan,2017,71.67,82.79,90.77,69792.09,0.95,15.28,87.18,88.87,78.61,4826,56.15,2.1,51870,20.37,28,83.6,155,92.16,78.61,82.59,11.12,82.4,82.69,0.00012094823415575995,7.0
Japan,2018,78.44,88.94,98.0,66988.48,0.95,10.41,78.24,83.61,85.53,6723,66.38,4.96,44635,43.0,78,100.0,441,80.8,85.53,55.33,10.5,80.99,84.74,0.024791389527149654,6.0
Japan,2019,76.42,81.82,98.0,75118.26,0.95,5.13,87.03,90.6,86.26,5623,173.3,3.63,34507,38.55,27,89.06,455,86.24,86.26,99.12,5.4,85.06,84.55,-0.0022421524663677195,7.0
Japan,2020,79.2,90.42,95.45,70528.7,0.95,11.92,86.9,90.27,84.48,4057,110.04,2.18,48291,35.32,60,84.77,272,87.59,84.48,44.43,11.22,82.73,87.15,0.030751034890597273,6.0
Japan,2021,84.26,95.03,87.68,54937.33,0.95,17.82,80.82,87.51,80.83,7655,155.25,4.33,127402,34.79,100,100.0,538,86.62,80.83,117.85,10.77,74.97,88.03,0.0100975329890991,6.0
Japan,2022,79.34,85.46,82.47,70489.76,0.95,7.17,85.52,89.82,79.95,6741,213.62,3.34,48298,32.19,65,100.0,206,88.76,79.95,94.9,6.13,82.74,85.26,-0.03146654549585359,7.0
Japan,2023,89.01,94.73,88.36,78386.28,0.95,14.75,86.71,87.66,73.36,3958,141.46,2.06,95320,11.6,104,100.0,705,88.59,73.36,50.29,5.72,86.69,89.3,0.04738447102979104,6.0
Japan,2024,87.51,97.29,90.87,71686.18,0.95,10.12,81.8,81.45,87.3,4445,179.91,3.62,43215,12.88,81,100.0,302,91.6,87.3,52.56,9.78,83.34,89.59,0.0032474804031354942,8.0
Japan,2025,90.09,97.88,98.0,71768.42,0.95,6.14,80.08,92.1,78.48,4696,41.8,3.43,62455,40.25,57,100.0,252,90.37,78.48,120.44,7.78,83.38,90.31,0.008036611228931845,7.0
Japan,2026,97.28,100.0,98.0,74641.02,0.95,10.67,77.67,91.15,81.59,4211,58.81,3.59,70500,17.02,59,84.27,481,81.38,81.59,122.72,2.72,84.82,92.49,0.02413907651422864,4.0
South Korea,2015,64.81,71.85,80.45,67393.9,0.95,10.65,81.61,87.56,81.35,3994,76.98,4.94,31797,27.46,74,100.0,451,74.8,81.35,68.94,7.04,81.2,77.55,0.0,10.0
South Korea,2016,70.07,75.62,93.44,68419.54,0.9,16.41,78.62,76.65,78.17,4458,63.99,0.97,93726,34.73,4,100.0,168,82.77,78.17,108.91,5.55,79.37,77.24,-0.0039974210186976,12.0
South Korea,2017,75.54,86.24,96.0,74131.4,0.95,10.14,75.46,88.08,77.87,6620,126.49,3.79,24165,12.11,30,84.44,625,77.94,77.87,136.79,10.7,84.57,82.61,0.06952356292076645,8.0
South Korea,2018,73.02,81.51,98.0,72269.61,0.95,19.55,80.21,85.44,73.08,6653,69.58,3.56,22983,11.07,31,93.53,623,85.56,73.08,112.43,8.49,83.63,80.77,-0.02227333252632857,9.0
South Korea,2019,73.28,78.56,94.16,63526.6,0.95,10.76,83.33,83.34,76.23,7741,191.67,2.4,48639,30.73,109,85.98,486,84.13,76.23,111.43,5.28,79.26,80.67,-0.0012380834468243007,10.0
South Korea,2020,76.16,82.83,89.5,72125.58,0.93,6.45,84.37,77.37,82.47,7728,112.37,2.82,58971,30.75,20,91.39,679,78.53,82.47,103.45,6.66,82.69,82.37,0.02107350935911745,10.0
South Korea,2021,79.28,87.45,90.05,67316.92,0.95,8.07,77.02,75.76,72.2,7524,109.86,1.62,91308,34.74,20,84.68,159,85.7,72.2,104.18,8.18,81.16,82.28,-0.0010926308121889106,11.0
South Korea,2022,82.5,93.58,80.8,71565.11,0.95,11.56,76.71,76.33,73.7,8049,41.68,1.05,70627,42.69,38,94.87,162,76.88,73.7,137.91,11.08,83.28,84.78,0.030384054448225672,8.0
South Korea,2023,89.93,98.54,80.25,74237.07,0.95,7.54,79.54,84.66,71.75,6918,69.98,3.53,135538,13.29,81,92.97,623,77.31,71.75,107.2,8.61,84.62,88.94,0.049068176456711354,7.0
South Korea,2024,90.7,100.0,98.0,70407.52,0.95,14.41,83.34,83.21,70.11,6781,72.39,3.46,63313,32.79,13,99.39,696,75.38,70.11,136.93,9.3,82.7,89.76,0.009219698673262888,7.0
South Korea,2025,86.6,96.77,93.01,71262.22,0.95,16.54,83.44,80.72,74.56,7199,173.76,2.46,116470,14.21,65,79.83,320,80.15,74.56,76.22,10.17,83.13,88.14,-0.018048128342246006,11.0
South Korea,2026,87.82,95.44,93.02,64698.47,0.94,13.15,76.93,75.75,78.71,5742,100.96,4.39,79013,26.77,4,89.89,351,80.64,78.71,95.45,7.61,79.55,86.96,-0.013387792148854216,12.0
Canada,2015,74.15,85.84,95.95,76403.9,0.95,18.16,78.19,80.94,73.12,4894,205.7,0.77,137392,22.31,13,97.58,295,82.28,73.12,70.15,11.69,85.7,81.38,0.0,7.0
Canada,2016,76.0,86.02,86.63,63443.52,0.95,14.26,80.73,84.21,74.83,4577,132.35,3.69,28645,29.86,31,100.0,428,90.09,74.83,96.76,10.01,79.22,82.77,0.017080363725731074,6.0
Canada,2017,75.41,86.15,95.22,75363.84,0.95,9.4,86.85,81.43,76.18,7942,200.77,2.09,45727,37.32,33,100.0,393,88.02,76.18,46.96,10.73,85.18,83.43,0.00797390358825667,6.0
Canada,2018,76.34,86.49,83.48,80000.0,0.95,13.56,86.63,81.26,74.44,6752,136.28,1.54,65968,30.81,60,100.0,225,88.43,74.44,80.78,10.16,87.5,83.52,0.0010787486515639877,7.0
Canada,2019,81.78,87.68,88.49,77885.96,0.95,3.43,79.05,88.87,81.68,4087,199.7,1.36,57094,17.93,43,85.09,449,79.02,81.68,124.15,5.9,86.44,85.53,0.024066091954022983,6.0
Canada,2020,79.97,88.7,98.0,78159.35,0.95,13.91,81.25,83.0,83.05,6500,169.85,2.59,22503,29.68,114,88.26,548,81.02,83.05,95.18,8.73,86.58,85.21,-0.0037413772945166235,7.0
Canada,2021,79.26,88.91,90.99,80000.0,0.95,4.74,85.96,91.91,76.52,8722,205.69,2.93,125250,28.23,75,85.68,587,79.92,76.52,126.96,9.65,87.5,86.03,0.00962328365215348,7.0
Canada,2022,86.44,92.05,90.94,67651.07,0.95,10.05,87.37,86.31,77.59,6719,130.62,4.64,79905,44.73,102,89.26,689,79.75,77.59,126.02,5.61,81.33,88.37,0.027199814018365798,6.0
Canada,2023,86.77,92.34,89.93,75846.24,0.95,19.56,82.03,80.61,83.43,6925,186.61,1.1,127875,42.3,58,100.0,592,80.63,83.43,91.54,5.57,85.42,87.74,-0.007129116215910503,8.0
Canada,2024,85.4,90.58,98.0,71145.47,0.94,9.78,79.36,92.45,81.25,5243,128.88,2.48,28485,32.43,26,100.0,525,80.28,81.25,43.22,5.18,82.76,87.42,-0.0036471392751309395,10.0
Canada,2025,94.59,99.99,85.85,69560.7,0.95,4.18,84.95,92.76,76.59,5200,54.94,3.61,22786,27.83,119,100.0,505,82.6,76.59,104.82,5.4,82.28,92.57,0.058911004346831275,5.0
Canada,2026,92.28,100.0,98.0,67784.17,0.95,15.21,79.95,83.52,79.22,7581,38.52,2.37,77852,10.67,31,100.0,226,86.03,79.22,60.07,7.72,81.39,90.59,-0.02138921896942847,6.0
France,2015,66.34,75.18,84.95,65105.26,0.87,4.7,74.73,82.85,66.65,4740,152.75,2.64,57138,23.81,55,98.73,595,84.51,66.65,109.53,8.84,76.24,74.64,0.0,13.0
France,2016,70.31,81.19,87.93,62153.73,0.9,13.87,70.57,83.71,72.1,7343,136.34,3.26,20856,28.14,18,97.3,397,80.39,72.1,36.67,10.89,76.21,77.58,0.03938906752411575,10.0
France,2017,67.81,72.89,81.11,63355.2,0.87,8.29,79.75,81.24,70.48,6793,140.36,1.33,33464,13.44,79,98.11,268,70.5,70.48,40.63,5.08,74.98,75.3,-0.029389017788089777,12.0
France,2018,71.02,78.7,90.67,70162.05,0.95,13.59,72.24,72.0,74.41,5678,39.43,4.86,106747,20.25,117,93.24,434,81.4,74.41,111.96,7.67,82.58,77.16,0.024701195219123395,12.0
France,2019,71.44,78.01,87.44,63357.05,0.95,18.98,73.9,76.66,71.77,4357,52.39,1.39,117096,32.6,35,99.66,579,82.88,71.77,122.44,6.57,79.18,77.54,0.004924831518921868,13.0
France,2020,75.29,85.39,86.08,63938.36,0.95,19.72,77.95,80.02,67.84,7536,39.63,1.24,28491,35.41,98,81.59,394,82.79,67.84,104.24,10.1,79.47,80.9,0.0433324735620324,11.0
France,2021,81.27,90.22,90.4,66385.58,0.91,4.88,77.07,83.28,74.73,5365,34.11,1.61,98270,44.71,12,87.23,547,73.24,74.73,86.86,8.96,78.76,83.9,0.037082818294190245,8.0
France,2022,80.77,91.25,75.89,59202.4,0.92,15.42,75.72,70.26,76.6,4182,188.71,2.16,51394,15.21,37,100.0,649,75.71,76.6,76.45,10.49,75.75,82.89,-0.012038140643623407,11.0
France,2023,83.71,91.6,82.29,66305.24,0.93,16.3,77.14,70.23,74.48,3683,128.44,2.66,88398,12.27,70,92.03,422,79.23,74.48,98.73,7.89,79.66,83.82,0.011219688744118717,10.0
France,2024,83.95,89.49,89.34,69073.62,0.95,16.2,70.77,75.2,76.96,5619,104.32,1.16,51542,25.19,11,81.8,442,81.22,76.96,130.2,5.54,82.04,83.44,-0.004533524218563567,13.0
France,2025,92.89,100.0,82.86,60060.88,0.95,12.29,71.37,76.33,77.78,5940,62.65,2.13,52283,10.92,3,100.0,272,77.95,77.78,61.8,7.11,77.53,88.59,0.06172099712368184,9.0
France,2026,88.51,99.41,84.84,62851.63,0.95,4.4,72.04,82.22,72.05,3626,151.21,2.73,64290,35.53,92,79.95,448,72.21,72.05,106.05,10.89,78.93,87.46,-0.01275538999887127,11.0
Sweden,2015,73.07,84.41,93.85,69972.45,0.95,15.98,82.35,83.93,86.25,4085,128.67,0.65,23412,41.73,17,100.0,395,85.06,86.25,138.46,11.34,82.49,82.99,0.0,5.0
Sweden,2016,76.06,87.62,98.0,76089.71,0.95,19.66,80.38,86.14,78.76,5086,159.85,1.39,91142,26.24,116,100.0,359,81.57,78.76,54.41,11.56,85.54,83.72,0.008796240510904996,5.0
Sweden,2017,76.63,85.29,86.21,78019.14,0.95,14.74,81.0,92.76,85.7,6590,52.72,2.56,80277,15.8,113,100.0,550,86.79,85.7,83.66,8.66,86.51,84.73,0.012064022933588214,5.0
Sweden,2018,80.93,91.58,88.88,71300.53,0.95,6.66,84.45,80.63,86.65,4605,99.22,3.91,84951,17.17,105,100.0,671,83.44,86.65,88.09,10.64,83.15,86.77,0.02407647822494985,4.0
Sweden,2019,83.29,92.06,98.0,74549.11,0.95,8.85,84.83,81.44,84.71,7806,217.92,1.42,85483,20.05,95,100.0,529,91.82,84.71,81.89,8.77,84.77,87.43,0.007606315546848208,3.0
Sweden,2020,86.95,97.51,90.39,68758.75,0.95,19.7,83.02,92.71,88.45,4480,75.23,1.33,135425,32.9,19,98.06,518,81.11,88.45,136.51,10.55,81.88,90.93,0.04003202562049646,4.0
Sweden,2021,88.1,99.99,98.0,77460.8,0.95,9.69,86.53,89.37,77.34,4592,39.79,3.02,86031,35.18,106,87.24,587,82.67,77.34,133.78,11.89,86.23,90.92,-0.00010997470581775026,4.0
Sweden,2022,91.16,99.45,94.74,80000.0,0.95,16.91,88.07,86.74,80.22,5499,69.94,3.7,126261,13.52,29,89.11,358,86.61,80.22,121.51,8.3,87.5,91.81,0.00978882534095904,4.0
Sweden,2023,93.16,100.0,98.0,67262.08,0.95,7.85,89.65,89.37,76.75,7338,50.46,1.29,130271,17.95,100,93.23,534,90.27,76.75,94.99,6.84,81.13,92.6,0.008604727153904701,4.0
Sweden,2024,85.34,96.44,90.06,79997.74,0.95,18.33,87.51,91.68,84.83,7257,142.31,1.0,75206,26.11,103,100.0,377,94.51,84.83,49.86,11.1,87.5,90.47,-0.023002159827213764,5.0
Sweden,2025,92.04,99.08,85.21,73745.02,0.95,19.33,88.96,91.16,86.93,7550,94.46,4.23,52902,40.55,14,100.0,473,81.3,86.93,64.59,7.05,84.37,93.18,0.029954681109760184,3.0
Sweden,2026,85.47,92.55,98.0,65428.33,0.95,17.34,82.85,91.0,75.58,7241,148.44,4.52,39941,12.76,29,100.0,170,88.6,75.58,149.2,7.08,80.21,87.84,-0.05730843528654217,10.0
Switzerland,2015,78.31,89.68,98.0,73198.68,0.95,11.31,89.53,95.27,91.02,6236,100.59,2.46,123990,31.07,107,100.0,533,92.31,91.02,108.0,11.37,84.1,88.31,0.0,2.0
Switzerland,2016,76.69,84.38,98.0,78212.61,0.95,15.38,87.71,92.62,92.09,6650,162.31,0.82,51208,22.66,57,89.2,242,86.99,92.09,152.35,7.69,86.61,86.14,-0.024572528592458398,4.0
Switzerland,2017,80.66,87.63,87.99,70803.85,0.95,5.94,84.91,90.58,77.92,4091,59.94,2.02,128012,30.02,62,96.64,735,88.79,77.92,49.09,6.96,82.9,85.91,-0.0026700719758533387,4.0
Switzerland,2018,82.02,93.14,90.47,76240.17,0.95,6.95,87.77,93.37,92.73,6041,121.0,2.35,142726,34.99,73,97.12,668,97.16,92.73,134.8,11.12,85.62,89.82,0.04551274589686871,2.0
Switzerland,2019,82.14,87.56,95.51,75420.14,0.95,10.21,88.87,93.13,79.55,5902,62.47,2.39,120809,12.49,10,98.48,742,92.86,79.55,118.15,5.42,85.21,87.27,-0.028390113560454178,4.0
Switzerland,2020,85.59,96.98,90.25,77342.5,0.95,18.24,88.96,95.94,88.7,4253,142.82,1.14,17207,24.77,36,100.0,515,83.49,88.7,53.28,11.39,86.17,91.7,0.050762002979259924,3.0
Switzerland,2021,87.13,98.05,93.34,80000.0,0.95,7.51,89.76,89.28,87.93,8190,125.79,4.09,130791,40.01,110,100.0,354,91.57,87.93,82.25,10.92,87.5,91.73,0.00032715376226821746,2.0
Switzerland,2022,93.4,99.57,94.75,80000.0,0.95,4.78,87.14,84.97,91.19,4030,164.59,3.37,63287,12.51,49,97.17,577,91.92,91.19,81.49,6.17,87.5,93.18,0.015807260438242654,2.0
Switzerland,2023,89.01,94.99,98.0,77703.41,0.95,8.92,87.69,83.25,85.42,4104,44.94,2.25,37987,10.82,90,100.0,335,96.34,85.42,52.48,5.98,86.35,90.27,-0.031229877656149485,5.0
Switzerland,2024,99.07,100.0,95.63,80000.0,0.95,8.94,92.68,87.16,92.25,5746,144.27,1.19,93144,28.96,91,100.0,429,87.37,92.25,69.2,0.93,87.5,95.86,0.06192533510579379,2.0
Switzerland,2025,89.81,100.0,90.62,76994.72,0.95,9.99,88.41,88.04,86.54,7303,134.05,2.31,154809,40.81,75,100.0,542,85.86,86.54,85.05,10.19,86.0,92.42,-0.03588566659712078,6.0
Switzerland,2026,86.48,98.23,98.0,80000.0,0.95,4.35,91.93,93.67,85.84,8198,63.21,4.07,54203,40.7,113,92.3,443,97.55,85.84,95.36,11.75,87.5,92.17,-0.002705042198658303,5.0
India,2015,65.59,75.92,88.82,60030.67,0.91,17.58,76.14,79.94,74.66,7981,102.18,4.22,106029,30.07,114,83.29,193,85.08,74.66,77.95,10.33,75.68,75.96,0.0,12.0
India,2016,71.55,80.93,91.03,66594.68,0.95,15.01,81.53,72.56,74.42,6624,56.24,1.85,56890,38.16,34,83.59,649,72.4,74.42,134.32,9.39,80.8,79.3,0.04397051079515535,9.0
India,2017,73.01,83.18,92.34,64592.88,0.88,15.84,80.61,83.38,69.41,6464,162.48,4.31,87754,13.1,59,79.6,353,78.38,69.41,40.3,10.17,76.08,79.55,0.0031525851197982124,11.0
India,2018,71.57,77.08,78.81,67804.89,0.95,11.01,81.82,80.11,71.76,7104,152.55,0.73,22281,24.1,36,84.24,285,84.32,71.76,127.4,5.51,81.4,78.87,-0.00854808296668752,11.0
India,2019,74.97,81.55,84.43,65878.99,0.95,13.66,78.68,86.96,76.32,3942,183.09,2.76,67864,30.51,75,79.42,501,75.9,76.32,105.68,6.58,80.44,81.51,0.03347280334728042,9.0
India,2020,81.18,87.18,82.96,68453.86,0.95,4.41,80.02,76.34,74.72,6328,42.77,3.87,51910,10.0,61,78.68,283,82.88,74.72,39.96,6.0,81.73,83.45,0.023800760642865848,9.0
India,2021,83.08,90.6,93.05,62978.7,0.89,18.05,74.97,84.91,71.97,5406,186.67,2.2,130192,13.13,82,92.09,343,81.76,71.97,104.66,7.52,76.14,83.75,0.0035949670461352667,9.0
